meal_name,recipe,ingredients,calories,proteins,carbohydrates,fats,image_url
Ensalada de pasta mediterránea,"Hervir una cacerola grande de agua salada
Agregue la pasta, revuelva una vez y cocine durante unos 10 minutos o como se indique en el paquete.
Mientras tanto, lave los tomates y corta en cuartos. Cortar las aceitunas. Lave la albahaca.
Coloque los tomates en una ensaladera y rasgue las hojas de albahaca sobre ellos. Agregue una cucharada de aceite de oliva y mezcle.
Cuando la pasta esté lista, drene en un colador y pase agua fría sobre ella para enfriarla rápidamente.
Mezcle la pasta en la ensalada con los tomates y la albahaca.
Agregue las aceitunas en rodajas, las bolas de mozzarella drenadas y trozos de atún. Mezcle bien y deje reposar la ensalada durante al menos media hora para permitir que los sabores se mezclen.
Espolvorea la pasta con una generosa rutina de pimienta negra y rocía con el aceite de oliva restante justo antes de servir.","bolas de mozzarella, tomates de ciruela para bebés, albahaca fresca, farfalle, aceite de oliva virgen extra, aceitunas verdes, atún, sal, pimienta",1690.0,141.312,277.511,57.085,https://www.themealdb.com/images/media/meals/wvqpwt1468339226.jpg
Pastel de azúcar,"Precaliente el horno a 350 grados F (175 grados C). Engrase un plato de pastel de 9 pulgadas.
Coloque el azúcar morena y la mantequilla en un tazón de mezcla y bájalos junto con una batidora eléctrica hasta que estén cremosas y muy bien combinadas, sin grumos. Batir en huevos, uno a la vez, incorporando el primer huevo antes de agregar el siguiente. Agregue el extracto de vainilla y la sal; Batir la harina, poco a poco, y luego la leche, haciendo una masa cremosa. Vierta la masa en el plato de pastel preparado.
Hornee en el horno precalentado durante 35 minutos; Retire el pastel y cubra el borde con papel de aluminio para evitar ardor. Regrese al horno y hornee hasta que el medio se establezca y la parte superior forma una capa crujiente, unos 15 minutos más. Deje que el pastel se enfríe a temperatura ambiente, luego refrigere durante al menos 1 hora antes de servir.","Azúcar morena, mantequilla, huevos, extracto de vainilla, sal, harina lisa, leche",10.0,0.0029999999999999,0.63,0.0029999999999999,https://www.themealdb.com/images/media/meals/yrstur1511816601.jpg
Sushi,"Paso 1
Para hacer rollos de sushi: sale un poco de arroz. Coloque una hoja de nori en la colchoneta, con el lado brillante hacia abajo. Sumerja sus manos en el agua vingared, luego dale un puñetazo de arroz en una capa de 1 cm de espesor, dejando el borde más alejado de ti.

Paso 2
Extendido sobre una mayonesa japonesa. Use una cuchara para extender una capa delgada de mayonesa en el medio del arroz.

Paso 3
Agregue el relleno. Haga que su hijo supere la mayonesa con una línea de sus rellenos favoritos: aquí hemos usado atún y pepino.

Paso 4
Enróllelo. Levante el borde del tapete sobre el arroz, aplicando un poco de presión para mantener todo en un rollo apretado.

Paso 5
Pegue los lados como un sello. Cuando llegue al borde sin arroz, cepille un poco de agua y continúe rodando en un rollo apretado.

Paso 6
Envolver en la película de aferrado. Retire la alfombra y enrolle bien en la película adhesiva antes de que un adulto corta el sushi en rodajas gruesas, luego desentraques la película adhesiva.

Paso 7
Para hacer sushi prensado: capa sobre un salmón ahumado. Forre una lata de pan con película adhesiva, luego coloque una capa delgada de salmón ahumado dentro de la película adhesiva.

Paso 8
Cubra con arroz y presione hacia abajo. Presione aproximadamente 3 cm de arroz sobre el pez, doble la película adhesiva y presione todo lo que pueda, usando otra lata si tiene una.

Paso 9
Déjalo como un castillo de arena. Gire el bloque de sushi en una tabla de cortar. Obtenga un adulto para cortar en los dedos, luego retire la película adhesiva.

Paso 10
Para hacer bolas de sushi: elija su cobertura. Obtenga un pequeño cuadrado de película adhesiva y coloque una cobertura, como media gambas o una pequeña pieza de salmón ahumado, sobre ella. Use las manos húmedas para rodar bolas de arroz del tamaño de la nogal y colóquelo en la cobertura.

Paso 11
Convertir en bolas apretadas. Reúna las esquinas de la película adhesiva y apriete en bolas retorciéndola, luego desenvuelve y sirve.","Arroz de sushi, vino de arroz, azúcar de lanzador, mayonesa, vino de arroz, salsa de soja, pepino",1000.0,20.33,242.9,1.7399999999999998,https://www.themealdb.com/images/media/meals/g046bb1663960946.jpg
Pastel de queso de mantequilla de maní,"Aceite y alinee una lata de pastel de fondo suelta de 20 cm con película de adhesivo, lo que lo hace lo más suave posible. Derrita la mantequilla en una sartén. Aplasta las galletas golpeándolas en una bolsa con un rodillo, luego revuélvalos en la mantequilla hasta que estén muy bien cubiertas. Presione la mezcla firmemente en la base de la lata y se enfríe.
Remoje la gelatina en agua mientras usted hace el relleno. Incline la ricota en un tazón, luego bata la mantequilla de maní y el jarabe. Ricotta tiene una textura ligeramente granulada, así que bombardea hasta que esté suave con una licuadora de palo para una textura más suave si lo prefiere.
Tome el gelatino empapado del agua y se seca. Póngalo en una sartén con la leche y caliente muy suavemente hasta que la gelatina se disuelva. Batir en la mezcla de maní, luego inclinar sobre la base de galletas. Enfríe hasta que esté listo.
Para congelarse, déjelo en la lata y tan pronto como sea sólido, cubra la superficie con una película adhesiva, luego envuelva la lata con una película y aluminio.
Para descongelar, descongele la nevera durante la noche.
Para servir, retire con cuidado de la lata. Batir la crema con el azúcar hasta que mantenga su forma, luego se extienda sobre la tarta de queso y se dispersa con el maní quebradiza.","Mantequilla, galletas de maní, hojas de gelatina, ricota, mantequilla de maní, jarabe dorado, leche, crema doble, azúcar suave de color marrón claro, frágil de maní",3775.0,98.6975,352.495,324.29,https://www.themealdb.com/images/media/meals/qtuuys1511387068.jpg
Tartas de crema portuguesa,"Paso 1
Hacer rodar la masa
Mezcle la harina y el azúcar de glaseado, y use esto para desempolvar la superficie de trabajo. Enrolle la masa para hacer un rectángulo de 45 x 30 cm. Enrolle a lo largo para crear una forma de salchicha larga.

Paso 2
Cortar la masa en rondas
Corte la masa en 24 ruedas, de aproximadamente 1-2 cm de espesor.

Paso 3
Desplegar cada parte de la masa
Enrolle cada rueda ligeramente con el rodillo para que se ajuste 2 x 12 hoyos, latas de pastel de hadas antiadherentes.

Paso 4
Presione la masa en la lata
Presione los círculos de pastelería en las latas y moldee en las latas para hacer estuches delgados. Enfriar hasta que sea necesario.

Paso 5
Hacer el jarabe infundido
Calienta el horno a 220C/Fan 200C/Gas 7. Haz un jarabe de azúcar llevando el azúcar, 200 ml de agua, ralladura de limón y canela a ebullición. Reduzca hasta que esté en jarro, deje enfriar, luego retire la canela y el limón. Batir los huevos, las yemas de huevo y la flor de maíz hasta que estén suave en otra sartén grande.

Paso 6
Hacer natillas
Calienta la leche y las semillas de vaina de vainilla en una sartén separada hasta que justo debajo de la ebullición. Vierta gradualmente la leche caliente sobre los huevos y la homicidio de maíz, luego cocine a fuego lento, batiendo continuamente.

Paso 7
Agregue el jarabe a las natillas
Agregue el jarabe de azúcar enfriado a las natillas y bata hasta que esté espesado ligeramente.

Paso 8
Vierte las natillas en las latas
Vierte las natillas a través de un tamiz. Vierta en los casos de pastelería y hornee durante 15 minutos hasta que la masa esté dorada y las natillas se hayan oscurecido.

Paso 9
enfriar y polvo con azúcar de glaseado
Enfríe completamente en las latas y luego tamice sobre el azúcar glaseado y la canela molida para servir.","Harina lisa, azúcar glas, hojaldre, azúcar de colcha, ralladura de limón, canela, huevos, yemas de huevo, harina de maíz, leche entera, vainilla, canela",2775.0,47.355,481.425,160.97,https://www.themealdb.com/images/media/meals/vmz7gl1614350221.jpg
Panqueques,"Coloque la harina, los huevos, la leche, 1 cucharada de aceite y una pizca de sal en un tazón o una jarra grande, luego bata a una masa suave. Ponga a un lado durante 30 minutos para descansar si tiene tiempo, o comience a cocinar de inmediato.
Establezca una sartén mediana o una sartén de crepe a fuego medio y límpiela cuidadosamente con un poco de papel de cocina engrasado. Cuando esté caliente, cocine los panqueques durante 1 minuto en cada lado hasta que estén doradas, manteniéndolos calientes en un horno bajo a medida que avanza.
Sirva con rodajas de limón y azúcar, o su relleno favorito. Una vez frío, puede superponer los panqueques entre el pergamino para hornear, luego envolverse en una película adhesiva y congelar por hasta 2 meses.","Harina, huevos, leche, aceite de girasol, azúcar, frambuesas, arándanos",420.0,19.75,90.7,25.73,https://www.themealdb.com/images/media/meals/rwuyqx1511383174.jpg
Atún y briks de huevo,"Caliente 2 cucharaditas del aceite en una cacerola grande y cocine las cebolletas a fuego lento durante 3 minutos o hasta que comience a ablandar. Agregue las espinacas, cubra con una tapa ajustada y cocine por otros 2–3 minutos o hasta que estén tiernas y marchitas, revolviendo una o dos veces. Incline la mezcla en un tamiz o colador y deje que drene y enfríe.
Usando un platillo como guía, corte 24 rondas de aproximadamente 12.5 cm (5 pulgadas) de diámetro del Filo Pastry, cortando 6 rondas de cada hoja. Apila el filo en una pila, luego cubra con una película adhesiva para evitar que se sequen.
Cuando la mezcla de espinacas esté fría, exprima el mayor exceso de líquido posible, luego transfiera a un tazón. Agregue el atún, los huevos, la salsa de pimiento picante y la sal y la pimienta al gusto. Mezclar bien.
Precaliente el horno a 200 ° C (400 ° F, marca de gas 6). Tome un filo y cepille muy ligeramente el aceite restante. Cubra con una segunda ronda y cepille con un poco de aceite, luego coloque una tercera ronda en la parte superior y cepille con aceite.
Coloque una cucharada de relleno en la mitad de la ronda, luego doble la masa para hacer una forma de media luna. Dobla los bordes, retorciéndolos para sellar y colocar en una bandeja para hornear antiadherente. Repita con la masa restante y el relleno para hacer 8 Briks en total.
Cepille ligeramente los Briks con el aceite restante. Hornee durante 12-15 minutos o hasta que la masa esté crujiente y dorada.
Mientras tanto, combine los tomates y el pepino en un tazón y espolvoree con el jugo de limón y sazonado al gusto. Sirva los Briks calientes con esta ensalada y la chutney.","Aceite de oliva, cebolletas, espinacas, pasteles de filo, atún, huevos, hotsauce, tomates, pepino, jugo de limón, mermelada de albaricoque",0.0,5.72,7.26,0.78,https://www.themealdb.com/images/media/meals/2dsltq1560461468.jpg
Gateau de chocolate,"Precaliente el horno a 180 ° C/350 ° F/Marca de gas 4. Engrase y alinee la base de una lata de pastel de 8 en resorte redondo con pergamino para hornear
Rompa el chocolate en un tazón a prueba de calor y colóquelo sobre una cacerola de agua suavemente a fuego lento y revuelva hasta que se derrita. (o derretir el microondas durante 2-3 minutos agitando ocasionalmente)
Coloque la mantequilla y el azúcar en un tazón y crema para mezclar con una cuchara de madera hasta que estén ligeras y esponjosas. Batir gradualmente en los huevos, agregando un poco de harina si la mezcla comienza a cuajarse. Dobla en la harina restante con el chocolate y la leche enfriado y derretido. Mezcle hasta que quede suave.
Extienda la mezcla en la lata del pastel y hornee durante 50-55 minutos o hasta que esté firme en el centro y una brocheta salga limpiamente. Enfríe durante 10 minutos, luego sale y enfríe por completo.","Chocolate, mantequilla, leche, huevos, azúcar granulada, harina",3125.0,24.8625,430.23,218.15,https://www.themealdb.com/images/media/meals/tqtywx1468317395.jpg
Tarte tatin,"Enrolle la masa a una redonda de 3 mm de espesor en una superficie ligeramente enharinada y corte un círculo de 24 cm, usando una placa como guía. Pinea ligeramente por todas partes con un tenedor, envuelva en una película adhesiva en una bandeja para hornear y congele mientras prepara las manzanas.
Caliente el horno a 180c/160c ventilador/gas 4. Peel, cuarto y núcleos de las manzanas. Coloque el azúcar en un plato de tatina de cerámica de flameproof de 20 cm o una sartén a base pesada a prueba de horno de 20 cm y coloque a fuego medio-alto. Cocine el azúcar durante 5-7 minutos a un jarabe de caramelo ámbar oscuro que comienza a fumar, luego apague el fuego y agregue la mantequilla fría en cubitos de 60 g.
Para ensamblar la tatina Tarte, coloque las cuartas de manzana muy firmemente en un círculo alrededor del borde del plato primero, con el lado redondeado hacia abajo, luego llene el medio de manera similar. Presione suavemente con las manos para asegurarse de que no haya huecos. Cepille la fruta con la mantequilla derretida.
Hornee en el horno durante 30 minutos, luego retire y coloque el disco de hojaldre congelado en la parte superior; se descongelará rápidamente. Meta los bordes por el interior del plato y, con un cuchillo, pinche unos agujeros en la masa para permitir que el vapor escape. Hornee durante otros 40-45 minutos hasta que la masa esté dorada y crujiente.
Deje enfriar a temperatura ambiente durante 1 hora antes de pasar un cuchillo alrededor del borde del plato e invertirlo en una placa de servicio grande que sea lo suficientemente profunda como para contener los jugos. Sirva con crème fraîche o helado de vainilla.","Hojaldre, harina lisa, manzanas Braeburn, azúcar de lanzador, mantequilla, crema Fraiche",2395.0,22.6225,235.351,183.235,https://www.themealdb.com/images/media/meals/ryspuw1511786688.jpg
Bigos (estofado de cazadores),"Precaliente el horno a 350 grados F (175 grados C).

Calienta una olla grande a fuego medio. Agregue el tocino y el kielbasa; Cocine y revuelva hasta que el tocino haya renderizado su grasa y su salchicha esté ligeramente dorada. Use una cuchara ranurada para quitar la carne y transferir a una cacerola grande o horno holandés.

Cubra los cubos de carne de cerdo ligeramente con harina y fríalos en los goteos de tocino a fuego medio-alto hasta que estén doradas. Use una cuchara ranurada para transferir la carne de cerdo a la cacerola. Agregue el ajo, la cebolla, las zanahorias, los champiñones frescos, el repollo y el chucrut. Reducir el fuego a medio; Cocine y revuelva hasta que las zanahorias estén suaves, aproximadamente 10 minutos. No dejes que las verduras se doren.

Desglasar la sartén vertiendo el vino tinto y revolviendo para aflojar todos los trozos de comida y harina que están pegados al fondo. Sazone con la bahía, albahaca, marjoram, pimentón, sal, pimienta, semillas de alcaravea y pimienta de cayena; Cocine por 1 minuto.

Mezcle los champiñones secos, salsa de pimiento picante, salsa de Worcestershire, caldo de carne, pasta de tomate y tomates. Calienta hasta que hirviera. Vierta las verduras y todo el líquido en la cacerola con la carne. Cubrir con tapa.

Hornee en el horno precalentado durante 2 1/2 a 3 horas, hasta que la carne esté muy tierna.","Tocino, kielbasa, carne de cerdo, harina, ajo, cebolla, champiñones, repollo, chucrut, vino tinto, bahía, albahaca, marjoram, pimentón, semilla de alcaravea, caldo de carne, puré de tomate, tomates cortados, salsa de horcestia",100.0,5.8205,35.9465,1.278,https://www.themealdb.com/images/media/meals/md8w601593348504.jpg
Gratina de papa con pollo,"Gratin de papa de 15 minutos con verduras de pollo y tocino: una gratina siempre parece más esfuerzo y más indulgente que los hervidos o asados ​​ordinarios, pero no tiene que tomar 45 minutos, es bueno para un cambio y puede controlar el contenido de calorías con una crema de grasa completa a una crema de baja grasa. (¡Siempre tiene un sabor mejor grasa, aunque obviamente!) Para servir 4: Use 800 g de papas, corta finamente y hierve en una sartén durante unos 5-8 minutos hasta que sea firme, no suave. Reduce finamente 3 cebollas y colóquelo en un plato de horno con 2 TBLSP de aceite de oliva y 100 ml de caldo de pollo. Cocine hasta que las cebollas estén suaves, luego drene las papas y vierta sobre las cebollas. Sazone y cuchara sobre crema o crema fresca hasta que todo esté cubierto pero no nadando. Relche a Parmesan por encima de la cima y luego termine bajo la parrilla hasta que esté bien dorada. Sirva con pollo y tocino, guisantes y espinacas.","Patatas, cebollas, aceite de oliva, caldo de pollo, crema Fraiche, parmesano, pechugas de pollo, tocino, espinacas, guisantes",0.0,18.92,143.53,1.92,https://www.themealdb.com/images/media/meals/qwrtut1468418027.jpg
